Uniprot Accession	Gene	Description	Peptides used for quantitation	Confidence score	Molecular weight (Da)	LB
P24171	dcp	Peptidyl-dipeptidase dcp OS=Escherichia coli (strain K12) GN=dcp PE=1 SV=4	20	1362.56	77448.95692	411
P0AFK0	pmbA	Protein pmbA OS=Escherichia coli (strain K12) GN=pmbA PE=1 SV=1	20	1315.39	48321.3938	1789
P27306	sthA	Soluble pyridine nucleotide transhydrogenase OS=Escherichia coli (strain K12) GN=sthA PE=1 SV=5	20	1458.79	51509.77384	2699
P0A698	uvrA	UvrABC system protein A OS=Escherichia coli (strain K12) GN=uvrA PE=1 SV=1	20	1115.87	103784.5415	228
P31660	prpC	2-methylcitrate synthase OS=Escherichia coli (strain K12) GN=prpC PE=1 SV=2	20	1179.96	43057.02009	278
P02931	ompF	Outer membrane protein F OS=Escherichia coli (strain K12) GN=ompF PE=1 SV=1	19	1364.11	39291.06024	15901
P0A7L0	rplA	50S ribosomal protein L1 OS=Escherichia coli (strain K12) GN=rplA PE=1 SV=2	19	1468.25	24696.286	76877
P02925	rbsB	D-ribose-binding periplasmic protein OS=Escherichia coli (strain K12) GN=rbsB PE=1 SV=1	19	1150.81	30913.36533	20979
P37902	gltI	Glutamate/aspartate periplasmic-binding protein OS=Escherichia coli (strain K12) GN=gltI PE=1 SV=2	19	1370.85	33381.16628	3664
P00550	mtlA	PTS system mannitol-specific EIICBA component OS=Escherichia coli (strain K12) GN=mtlA PE=1 SV=1	19	1307.28	67910.6114	1626
P67910	hldD	ADP-L-glycero-D-manno-heptose-6-epimerase OS=Escherichia coli (strain K12) GN=hldD PE=1 SV=1	19	1131.92	34853.12923	4708
P0A9X4	mreB	Rod shape-determining protein mreB OS=Escherichia coli (strain K12) GN=mreB PE=1 SV=1	19	1233	36911.03451	5376
P0AE06	acrA	Acriflavine resistance protein A OS=Escherichia coli (strain K12) GN=acrA PE=1 SV=1	19	1186.07	42153.07723	4522
P0AEK4	fabI	Enoyl-[acyl-carrier-protein] reductase [NADH] OS=Escherichia coli (strain K12) GN=fabI PE=1 SV=2	19	1462.86	27828.04478	9391
P18335	argD	Acetylornithine/succinyldiaminopimelate aminotransferase OS=Escherichia coli (strain K12) GN=argD PE=1 SV=4	19	1451.07	43721.10429	517
P0A879	trpB	Tryptophan synthase beta chain OS=Escherichia coli (strain K12) GN=trpB PE=1 SV=2	19	1085.02	42937.58854	750
P0A903	bamC	Lipoprotein 34 OS=Escherichia coli (strain K12) GN=nlpB PE=1 SV=1	19	1294.42	36801.60236	2346
P06715	gor	Glutathione reductase OS=Escherichia coli (strain K12) GN=gor PE=1 SV=1	19	1191	48723.63153	1398
P0AB89	purB	Adenylosuccinate lyase OS=Escherichia coli (strain K12) GN=purB PE=1 SV=1	19	1170.33	51492.59536	1442
P60906	hisS	Histidyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=hisS PE=1 SV=2	19	1212.13	46982.01028	2845
P0A796	pfkA	6-phosphofructokinase isozyme 1 OS=Escherichia coli (strain K12) GN=pfkA PE=1 SV=1	19	800.26	34801.68622	1377
P33195	gcvP	Glycine dehydrogenase [decarboxylating] OS=Escherichia coli (strain K12) GN=gcvP PE=1 SV=3	19	1088.83	104291.7423	1071
P00490	malP	Maltodextrin phosphorylase OS=Escherichia coli (strain K12) GN=malP PE=1 SV=7	19	927.49	90447.61358	442
P02943	lamB	Maltoporin OS=Escherichia coli (strain K12) GN=lamB PE=1 SV=1	19	1117.43	49862.58108	2585
P11454	entF	Enterobactin synthase component F OS=Escherichia coli (strain K12) GN=entF PE=1 SV=3	19	1083.91	141883.5654	32
P0A6A6	leuC	3-isopropylmalate dehydratase large subunit OS=Escherichia coli (strain K12) GN=leuC PE=1 SV=2	19	1235.05	49832.04222	559
P00562	metL	Bifunctional aspartokinase/homoserine dehydrogenase 2 OS=Escherichia coli (strain K12) GN=metL PE=1 SV=3	19	1039.11	88814.63109	228
P31979	nuoF	NADH-quinone oxidoreductase subunit F OS=Escherichia coli (strain K12) GN=nuoF PE=1 SV=3	19	929.2	49242.93959	2075
P06996	ompC	Outer membrane protein C OS=Escherichia coli (strain K12) GN=ompC PE=1 SV=1	18	1285.11	40325.36434	73854
P76116	yncE	Uncharacterized protein YncE OS=Escherichia coli (strain K12) GN=yncE PE=1 SV=1	18	1143.63	38571.4174	1954
P0A858	tpiA	Triosephosphate isomerase OS=Escherichia coli (strain K12) GN=tpiA PE=1 SV=1	18	1387.03	26936.80958	7527
P0A7V3	rpsC	30S ribosomal protein S3 OS=Escherichia coli (strain K12) GN=rpsC PE=1 SV=2	18	1108.11	25949.15933	46854
P0AB91	aroG	Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive OS=Escherichia coli (strain K12) GN=aroG PE=1 SV=1	18	1710.75	37967.50301	1722
P0A6K6	deoB	Phosphopentomutase OS=Escherichia coli (strain K12) GN=deoB PE=1 SV=1	18	982.98	44323.944	5977
P69441	adk	Adenylate kinase OS=Escherichia coli (strain K12) GN=adk PE=1 SV=1	18	1101.67	23553.271	8199
P69797	manX	PTS system mannose-specific EIIAB component OS=Escherichia coli (strain K12) GN=manX PE=1 SV=2	18	1234.71	35007.49034	2890
P16700	cysP	Thiosulfate-binding protein OS=Escherichia coli (strain K12) GN=cysP PE=1 SV=1	18	1026.7	37573.27827	804
P21599	pykA	Pyruvate kinase II OS=Escherichia coli (strain K12) GN=pykA PE=1 SV=3	18	1411.98	51306.66919	3343
P31120	glmM	Phosphoglucosamine mutase OS=Escherichia coli (strain K12) GN=glmM PE=1 SV=3	18	1441.11	47495.53374	2582
P25526	gabD	Succinate-semialdehyde dehydrogenase [NADP+] OS=Escherichia coli (strain K12) GN=gabD PE=1 SV=1	18	1025.2	51669.60686	1258
P00393	ndh	NADH dehydrogenase OS=Escherichia coli (strain K12) GN=ndh PE=1 SV=2	18	1368.88	47310.63259	1172
P0AEZ1	metF	5,10-methylenetetrahydrofolate reductase OS=Escherichia coli (strain K12) GN=metF PE=1 SV=1	18	1143.69	33063.77233	853
P21170	speA	Biosynthetic arginine decarboxylase OS=Escherichia coli (strain K12) GN=speA PE=1 SV=2	18	1314.3	73833.42148	1661
P60785	lepA	Elongation factor 4 OS=Escherichia coli (strain K12) GN=lepA PE=1 SV=1	18	1104.96	66510.34926	1579
P0AGD7	ffh	Signal recognition particle protein OS=Escherichia coli (strain K12) GN=ffh PE=1 SV=1	18	1223.97	49737.22258	1665
P0AG90	secD	Protein-export membrane protein secD OS=Escherichia coli (strain K12) GN=secD PE=3 SV=1	18	1003.3	66572.67588	879
P45464	lpoA	Penicillin-binding protein activator LpoA OS=Escherichia coli (strain K12) GN=lpoA PE=1 SV=1	18	887.8	72761.97123	757
P0A8J8	rhlB	ATP-dependent RNA helicase rhlB OS=Escherichia coli (strain K12) GN=rhlB PE=1 SV=2	18	1043.46	47078.44805	938
P60240	rapA	RNA polymerase-associated protein rapA OS=Escherichia coli (strain K12) GN=rapA PE=1 SV=2	18	870.09	109682.6916	540
P46837	yhgF	Protein yhgF OS=Escherichia coli (strain K12) GN=yhgF PE=1 SV=3	18	967.85	85048.93743	329
P0AB77	kbl	2-amino-3-ketobutyrate coenzyme A ligase OS=Escherichia coli (strain K12) GN=kbl PE=1 SV=1	18	1099.45	43071.72819	2297
P0ABT2	dps	DNA protection during starvation protein OS=Escherichia coli (strain K12) GN=dps PE=1 SV=2	17	1282.41	18665.72624	10435
P02359	rpsG	30S ribosomal protein S7 OS=Escherichia coli (strain K12) GN=rpsG PE=1 SV=3	17	1287.47	19988.68708	136334
P0A9T0	serA	D-3-phosphoglycerate dehydrogenase OS=Escherichia coli (strain K12) GN=serA PE=1 SV=2	17	954.62	44130.04277	910
P0A9Q9	asd	Aspartate-semialdehyde dehydrogenase OS=Escherichia coli (strain K12) GN=asd PE=1 SV=1	17	1106.4	39974.477	3849
P0A991	fbaB	Fructose-bisphosphate aldolase class 1 OS=Escherichia coli (strain K12) GN=fbaB PE=1 SV=2	17	1340.07	38067.15999	1182
P52697	pgl	6-phosphogluconolactonase OS=Escherichia coli (strain K12) GN=pgl PE=1 SV=2	17	956.95	36266.85229	2203
P0A7V8	rpsD	30S ribosomal protein S4 OS=Escherichia coli (strain K12) GN=rpsD PE=1 SV=2	17	1105.06	23436.61845	35055
P0AB24	efeO	UPF0409 protein ycdO OS=Escherichia coli (strain K12) GN=ycdO PE=1 SV=1	17	1111.47	41094.01915	426
P19926	agp	Glucose-1-phosphatase OS=Escherichia coli (strain K12) GN=agp PE=1 SV=1	17	911.69	45635.85628	1367
P0A715	kdsA	2-dehydro-3-deoxyphosphooctonate aldolase OS=Escherichia coli (strain K12) GN=kdsA PE=1 SV=1	17	1242.72	30794.90121	4123
P0AEP3	galU	UTP--glucose-1-phosphate uridylyltransferase OS=Escherichia coli (strain K12) GN=galU PE=1 SV=2	17	842.42	32902.99162	2449
P0AEZ3	minD	Septum site-determining protein minD OS=Escherichia coli (strain K12) GN=minD PE=1 SV=2	17	923.43	29577.61181	4928
P08506	dacC	D-alanyl-D-alanine carboxypeptidase dacC OS=Escherichia coli (strain K12) GN=dacC PE=1 SV=2	17	1255.29	43563.33921	956
P0ABJ1	cyoA	Ubiquinol oxidase subunit 2 OS=Escherichia coli (strain K12) GN=cyoA PE=1 SV=1	17	820.49	34870.5555	7655
P33221	purT	Phosphoribosylglycinamide formyltransferase 2 OS=Escherichia coli (strain K12) GN=purT PE=1 SV=3	17	1168.48	42389.00585	363
P21165	pepQ	Xaa-Pro dipeptidase OS=Escherichia coli (strain K12) GN=pepQ PE=1 SV=2	17	1425.59	50126.32646	1877
P33136	mdoG	Glucans biosynthesis protein G OS=Escherichia coli (strain K12) GN=mdoG PE=1 SV=1	17	948.77	57858.11706	1265
P07004	proA	Gamma-glutamyl phosphate reductase OS=Escherichia coli (strain K12) GN=proA PE=1 SV=2	17	1174.47	44584.18081	1214
P06129	btuB	Vitamin B12 transporter BtuB OS=Escherichia coli (strain K12) GN=btuB PE=1 SV=2	17	1177.07	68347.35227	832
P77735	yajO	Uncharacterized oxidoreductase YajO OS=Escherichia coli (strain K12) GN=yajO PE=3 SV=2	17	981.38	36379.51751	357
P22256	gabT	4-aminobutyrate aminotransferase OS=Escherichia coli (strain K12) GN=gabT PE=1 SV=1	17	1134.9	45727.49283	945
P0A7I4	prfC	Peptide chain release factor 3 OS=Escherichia coli (strain K12) GN=prfC PE=1 SV=2	17	1102.69	59518.30682	1380
P23830	pssA	CDP-diacylglycerol--serine O-phosphatidyltransferase OS=Escherichia coli (strain K12) GN=pssA PE=1 SV=2	17	1149.61	52750.76196	730
P0AE78	corC	Magnesium and cobalt efflux protein CorC OS=Escherichia coli (strain K12) GN=corC PE=3 SV=1	17	870.67	33259.53085	363
P0A7B5	proB	Glutamate 5-kinase OS=Escherichia coli (strain K12) GN=proB PE=1 SV=1	17	1109.06	39014.45918	812
P76578	yfhM	Uncharacterized lipoprotein yfhM OS=Escherichia coli (strain K12) GN=yfhM PE=4 SV=1	17	867.54	181455.4179	60
P18956	ggt	Gamma-glutamyltranspeptidase OS=Escherichia coli (strain K12) GN=ggt PE=1 SV=1	17	640.15	61711.22895	269
P77243	prpD	2-methylcitrate dehydratase OS=Escherichia coli (strain K12) GN=prpD PE=1 SV=3	17	1152.39	53899.46277	181
P0A8F0	upp	Uracil phosphoribosyltransferase OS=Escherichia coli (strain K12) GN=upp PE=1 SV=1	16	963.26	22500.97299	16450
P60438	rplC	50S ribosomal protein L3 OS=Escherichia coli (strain K12) GN=rplC PE=1 SV=1	16	1141.88	22211.83448	40858
P0A717	prs	Ribose-phosphate pyrophosphokinase OS=Escherichia coli (strain K12) GN=prs PE=1 SV=2	16	1269.75	34178.69451	9372
P09372	grpE	Protein grpE OS=Escherichia coli (strain K12) GN=grpE PE=1 SV=1	16	962.49	21766.1539	16830
P0AEU0	hisJ	Histidine-binding periplasmic protein OS=Escherichia coli (strain K12) GN=hisJ PE=1 SV=1	16	1112.16	28447.63566	3332
P15288	pepD	Aminoacyl-histidine dipeptidase OS=Escherichia coli (strain K12) GN=pepD PE=1 SV=3	16	1036.43	52864.14219	5961
P0A9D8	dapD	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase OS=Escherichia coli (strain K12) GN=dapD PE=1 SV=1	16	1414.34	29855.42579	8342
P0A6A3	ackA	Acetate kinase OS=Escherichia coli (strain K12) GN=ackA PE=1 SV=1	16	1176.04	43245.07012	8612
P12758	udp	Uridine phosphorylase OS=Escherichia coli (strain K12) GN=udp PE=1 SV=3	16	1312.76	27123.83212	27495
P0ABD3	bfr	Bacterioferritin OS=Escherichia coli (strain K12) GN=bfr PE=1 SV=1	16	952.42	18465.32013	3039
P23908	argE	Acetylornithine deacetylase OS=Escherichia coli (strain K12) GN=argE PE=1 SV=2	16	1388.14	42302.47015	326
P23836	phoP	Transcriptional regulatory protein phoP OS=Escherichia coli (strain K12) GN=phoP PE=1 SV=1	16	1055.77	25501.27781	3132
P0AC38	aspA	Aspartate ammonia-lyase OS=Escherichia coli (strain K12) GN=aspA PE=1 SV=1	16	1119.52	52304.53112	5578
P0ABA6	atpG	ATP synthase gamma chain OS=Escherichia coli (strain K12) GN=atpG PE=1 SV=1	16	878.86	31539.27915	3812
P76177	ydgH	Protein ydgH OS=Escherichia coli (strain K12) GN=ydgH PE=1 SV=1	16	1186.15	33864.45084	2669
P60757	hisG	ATP phosphoribosyltransferase OS=Escherichia coli (strain K12) GN=hisG PE=1 SV=1	16	941.56	33327.35988	504
P00893	ilvI	Acetolactate synthase isozyme 3 large subunit OS=Escherichia coli (strain K12) GN=ilvI PE=1 SV=2	16	792.09	62925.97681	114
P0ACC7	glmU	Bifunctional protein glmU OS=Escherichia coli (strain K12) GN=glmU PE=1 SV=1	16	763.66	49141.57527	804
P15034	pepP	Xaa-Pro aminopeptidase OS=Escherichia coli (strain K12) GN=pepP PE=1 SV=2	16	1073.11	49766.1139	973
P05042	fumC	Fumarate hydratase class II OS=Escherichia coli (strain K12) GN=fumC PE=1 SV=1	16	1328.8	50438.71	996
P77239	cusB	Cation efflux system protein CusB OS=Escherichia coli (strain K12) GN=cusB PE=1 SV=1	16	983.26	44259.17524	385
P07650	deoA	Thymidine phosphorylase OS=Escherichia coli (strain K12) GN=deoA PE=1 SV=3	16	1052.13	47159.0389	1556
Q46829	bglA	6-phospho-beta-glucosidase BglA OS=Escherichia coli (strain K12) GN=bglA PE=3 SV=2	16	707.14	55306.84905	485
P62620	ispG	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase OS=Escherichia coli (strain K12) GN=ispG PE=1 SV=1	16	861.29	40640.36094	969
P18133	pncB	Nicotinate phosphoribosyltransferase OS=Escherichia coli (strain K12) GN=pncB PE=1 SV=3	16	863.38	45850.34614	365
P32176	fdoG	Formate dehydrogenase-O major subunit OS=Escherichia coli (strain K12) GN=fdoG PE=1 SV=5	16	1159.21	112549	2034
P28635	metQ	D-methionine-binding lipoprotein metQ OS=Escherichia coli (strain K12) GN=metQ PE=1 SV=2	15	1245.36	29395.54573	3958
P45578	luxS	S-ribosylhomocysteine lyase OS=Escherichia coli (strain K12) GN=luxS PE=1 SV=3	15	1179.02	19385.61224	5305
P02358	rpsF	30S ribosomal protein S6 OS=Escherichia coli (strain K12) GN=rpsF PE=1 SV=1	15	1363.78	15675.59882	42242
P0A7W1	rpsE	30S ribosomal protein S5 OS=Escherichia coli (strain K12) GN=rpsE PE=1 SV=2	15	1066.45	17574.31673	49612
P0AEQ3	glnH	Glutamine-binding periplasmic protein OS=Escherichia coli (strain K12) GN=glnH PE=1 SV=1	15	879.41	27155.19991	5618
P33570	tktB	Transketolase 2 OS=Escherichia coli (strain K12) GN=tktB PE=1 SV=1	15	1361.71	72978.83065	379
P0AAB6	galF	UTP--glucose-1-phosphate uridylyltransferase OS=Escherichia coli (strain K12) GN=galF PE=1 SV=1	15	1212.7	32790.12707	4890
P04036	dapB	Dihydrodipicolinate reductase OS=Escherichia coli (strain K12) GN=dapB PE=1 SV=1	15	1303.15	28720.56121	2525
P09424	mtlD	Mannitol-1-phosphate 5-dehydrogenase OS=Escherichia coli (strain K12) GN=mtlD PE=1 SV=3	15	915	41095.47588	1459
P0AB67	pntB	NAD(P) transhydrogenase subunit beta OS=Escherichia coli (strain K12) GN=pntB PE=1 SV=1	15	925.02	48673.51161	1461
P0AGJ9	tyrS	Tyrosyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=tyrS PE=1 SV=2	15	1058.75	47479.05081	3362
P23893	hemL	Glutamate-1-semialdehyde 2,1-aminomutase OS=Escherichia coli (strain K12) GN=hemL PE=1 SV=2	15	812.05	45318.36911	3785
P07001	pntA	NAD(P) transhydrogenase subunit alpha OS=Escherichia coli (strain K12) GN=pntA PE=1 SV=2	15	876.92	54570.52368	895
Q46857	dkgA	2,5-diketo-D-gluconic acid reductase A OS=Escherichia coli (strain K12) GN=dkgA PE=1 SV=3	15	941.04	31072.23036	735
P15640	purD	Phosphoribosylamine--glycine ligase OS=Escherichia coli (strain K12) GN=purD PE=1 SV=2	15	1012.69	45893.14698	423
P0AE18	map	Methionine aminopeptidase OS=Escherichia coli (strain K12) GN=map PE=1 SV=1	15	729.78	29293.90197	2077
P15877	gcd	Quinoprotein glucose dehydrogenase OS=Escherichia coli (strain K12) GN=gcd PE=1 SV=3	15	768.4	86673.81201	85
P0A7G6	recA	Protein recA OS=Escherichia coli (strain K12) GN=recA PE=1 SV=2	15	1090.72	37931.55831	3139
P37666	ghrB	Glyoxylate/hydroxypyruvate reductase B OS=Escherichia coli (strain K12) GN=ghrB PE=1 SV=3	15	627.56	35355.05266	1289
P0A8W8	yfbU	UPF0304 protein yfbU OS=Escherichia coli (strain K12) GN=yfbU PE=1 SV=1	15	804.24	19505.45171	1387
P76658	hldE	Bifunctional protein hldE OS=Escherichia coli (strain K12) GN=hldE PE=1 SV=1	15	796.52	51000.70717	1349
P0A7E1	pyrD	Dihydroorotate dehydrogenase OS=Escherichia coli (strain K12) GN=pyrD PE=1 SV=1	15	1053.82	36733.3769	519
P39342	yjgR	Uncharacterized protein yjgR OS=Escherichia coli (strain K12) GN=yjgR PE=1 SV=1	15	895.75	54280.35703	118
P13482	treA	Periplasmic trehalase OS=Escherichia coli (strain K12) GN=treA PE=1 SV=1	15	654.59	63578.54018	70
P04693	tyrB	Aromatic-amino-acid aminotransferase OS=Escherichia coli (strain K12) GN=tyrB PE=1 SV=1	15	1018.46	43492.11181	895
P09323	nagE	PTS system N-acetylglucosamine-specific EIICBA component OS=Escherichia coli (strain K12) GN=nagE PE=4 SV=1	15	948.01	68284.89815	1768
P0A6W9	gshA	Glutamate--cysteine ligase OS=Escherichia coli (strain K12) GN=gshA PE=1 SV=1	15	605.9	58214.2673	611
P15042	ligA	DNA ligase OS=Escherichia coli (strain K12) GN=ligA PE=1 SV=2	15	994.06	73542.28557	647
P37759	rfbB	dTDP-glucose 4,6-dehydratase 1 OS=Escherichia coli (strain K12) GN=rfbB PE=3 SV=2	15	1031.33	40515.2662	2504
P0AEI1	miaB	(Dimethylallyl)adenosine tRNA methylthiotransferase miaB OS=Escherichia coli (strain K12) GN=miaB PE=1 SV=1	15	1270.05	53611.11073	2315
P21507	srmB	ATP-dependent RNA helicase srmB OS=Escherichia coli (strain K12) GN=srmB PE=1 SV=1	15	929.27	49865.45062	719
P0A749	murA	UDP-N-acetylglucosamine 1-carboxyvinyltransferase OS=Escherichia coli (strain K12) GN=murA PE=1 SV=1	15	689.16	44771.46454	1266
P0A887	ubiE	Ubiquinone/menaquinone biosynthesis methyltransferase ubiE OS=Escherichia coli (strain K12) GN=ubiE PE=1 SV=1	15	1039.44	28037.26502	1739
P77488	dxs	1-deoxy-D-xylulose-5-phosphate synthase OS=Escherichia coli (strain K12) GN=dxs PE=1 SV=3	15	654.96	67555.79182	697
P07604	tyrR	Transcriptional regulatory protein tyrR OS=Escherichia coli (strain K12) GN=tyrR PE=1 SV=2	15	859.27	57601.71114	225
P00963	asnA	Aspartate--ammonia ligase OS=Escherichia coli (strain K12) GN=asnA PE=1 SV=1	15	1013.7	36609.75524	601
P04968	ilvA	Threonine dehydratase biosynthetic OS=Escherichia coli (strain K12) GN=ilvA PE=1 SV=1	15	722.58	56141.72101	98
P0AA39	rluC	Ribosomal large subunit pseudouridine synthase C OS=Escherichia coli (strain K12) GN=rluC PE=1 SV=1	15	573.1	35986.35384	326
P62707	gpmA	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase OS=Escherichia coli (strain K12) GN=gpmA PE=1 SV=2	14	994.9	28520.74385	17793
P0AF96	tabA	Uncharacterized protein yjgK OS=Escherichia coli (strain K12) GN=yjgK PE=1 SV=1	14	865.89	16836.60419	12656
P0A7D7	purC	Phosphoribosylaminoimidazole-succinocarboxamide synthase OS=Escherichia coli (strain K12) GN=purC PE=1 SV=1	14	1044.81	26959.72675	1498
P0AE08	ahpC	Alkyl hydroperoxide reductase subunit C OS=Escherichia coli (strain K12) GN=ahpC PE=1 SV=2	14	1193.7	20730.40145	77834
P0A6F1	carA	Carbamoyl-phosphate synthase small chain OS=Escherichia coli (strain K12) GN=carA PE=1 SV=1	14	1420.06	41387.12046	792
P0A6L0	deoC	Deoxyribose-phosphate aldolase OS=Escherichia coli (strain K12) GN=deoC PE=1 SV=1	14	1067.44	27698.32324	7170
P0ACA3	sspA	Stringent starvation protein A OS=Escherichia coli (strain K12) GN=sspA PE=1 SV=2	14	841.44	24271.40368	8208
P0AE52	bcp	Putative peroxiredoxin bcp OS=Escherichia coli (strain K12) GN=bcp PE=1 SV=1	14	862.95	17604.6859	7717
P0A855	tolB	Protein tolB OS=Escherichia coli (strain K12) GN=tolB PE=1 SV=1	14	1048.06	45909.17809	1404
P0A9P4	trxB	Thioredoxin reductase OS=Escherichia coli (strain K12) GN=trxB PE=1 SV=2	14	1168.46	34583.36117	5509
P25524	codA	Cytosine deaminase OS=Escherichia coli (strain K12) GN=codA PE=1 SV=3	14	1354.11	47543.17582	691
P04816	livK	Leucine-specific-binding protein OS=Escherichia coli (strain K12) GN=livK PE=1 SV=2	14	890.76	39335.87005	391
P31224	acrB	Acriflavine resistance protein B OS=Escherichia coli (strain K12) GN=acrB PE=1 SV=1	14	655.93	113482.9154	643
P0ACJ8	crp	Catabolite gene activator OS=Escherichia coli (strain K12) GN=crp PE=1 SV=1	14	816.9	23607.36405	3450
P0AFG0	nusG	Transcription antitermination protein nusG OS=Escherichia coli (strain K12) GN=nusG PE=1 SV=2	14	989.08	20500.46283	6938
P07012	prfB	Peptide chain release factor 2 OS=Escherichia coli (strain K12) GN=prfB PE=1 SV=3	14	885.4	41207.29926	2892
P00579	rpoD	RNA polymerase sigma factor rpoD OS=Escherichia coli (strain K12) GN=rpoD PE=1 SV=2	14	805.15	70201.22445	1657
P0A877	trpA	Tryptophan synthase alpha chain OS=Escherichia coli (strain K12) GN=trpA PE=1 SV=1	14	879.27	28688.02998	1705
P0A9C3	galM	Aldose 1-epimerase OS=Escherichia coli (strain K12) GN=galM PE=1 SV=1	14	986.82	38148.75888	2363
P0AEB2	dacA	D-alanyl-D-alanine carboxypeptidase dacA OS=Escherichia coli (strain K12) GN=dacA PE=1 SV=1	14	1031.63	44397.66983	1960
P0A6R0	fabH	3-oxoacyl-[acyl-carrier-protein] synthase 3 OS=Escherichia coli (strain K12) GN=fabH PE=1 SV=1	14	940.88	33475.97062	3559
P39099	degQ	Protease degQ OS=Escherichia coli (strain K12) GN=degQ PE=1 SV=1	14	900.95	47158.1467	848
P0ABU2	ychF	GTP-dependent nucleic acid-binding protein engD OS=Escherichia coli (strain K12) GN=engD PE=1 SV=2	14	830.86	39624.25951	4454
P29217	yceH	UPF0502 protein yceH OS=Escherichia coli (strain K12) GN=yceH PE=1 SV=3	14	885.12	24144.21298	1137
P37329	modA	Molybdate-binding periplasmic protein OS=Escherichia coli (strain K12) GN=modA PE=1 SV=1	14	815.75	27329.30548	1058
P0ABH0	ftsA	Cell division protein ftsA OS=Escherichia coli (strain K12) GN=ftsA PE=3 SV=1	14	672.86	45283.45163	792
P27248	gcvT	Aminomethyltransferase OS=Escherichia coli (strain K12) GN=gcvT PE=1 SV=3	14	884.86	40103.1916	2199
P0A6Z1	hscA	Chaperone protein hscA OS=Escherichia coli (strain K12) GN=hscA PE=1 SV=1	14	1176.24	65594.0187	1040
P30871	ygiF	Uncharacterized protein ygiF OS=Escherichia coli (strain K12) GN=ygiF PE=4 SV=1	14	699.13	48340.9311	303
P04335	frsA	Esterase frsA OS=Escherichia coli (strain K12) GN=frsA PE=3 SV=2	14	810.11	46960.55542	271
P0AGC3	slt	Soluble lytic murein transglycosylase OS=Escherichia coli (strain K12) GN=slt PE=1 SV=1	14	665.25	73288.81952	89
P0A9P6	deaD	Cold-shock DEAD box protein A OS=Escherichia coli (strain K12) GN=deaD PE=1 SV=2	14	904.39	70484.62084	1899
